ts,iso_time,dataset,instrument_id,bar,open,high,low,close,volume_contracts,volume_base,volume_quote
1775024640000,2026-04-01T06:24:00Z,candles,BTC-USDT-SWAP,1m,68808.7,68868.8,68785.3,68815.6,22511.84,225.1184,15496013.29241
1775024700000,2026-04-01T06:25:00Z,candles,BTC-USDT-SWAP,1m,68815.6,68868.7,68786.1,68821.3,15631.88,156.3188,10756948.24304
1775024760000,2026-04-01T06:26:00Z,candles,BTC-USDT-SWAP,1m,68821.2,68868,68815.2,68834.3,7854.93,78.5493,5407338.17672
1775024820000,2026-04-01T06:27:00Z,candles,BTC-USDT-SWAP,1m,68834.4,68860,68827.4,68837,8142.12,81.4212,5605422.1977
1775024880000,2026-04-01T06:28:00Z,candles,BTC-USDT-SWAP,1m,68837,68859.7,68837,68840,4804.93,48.0493,3308198.57215
1775024940000,2026-04-01T06:29:00Z,candles,BTC-USDT-SWAP,1m,68840,68850,68825.1,68827.9,6910.89,69.1089,4757209.21811
1775025000000,2026-04-01T06:30:00Z,candles,BTC-USDT-SWAP,1m,68827.9,68888,68768.1,68805.8,28260.58,282.6058,19455378.5543
1775025060000,2026-04-01T06:31:00Z,candles,BTC-USDT-SWAP,1m,68805.8,68821.8,68761.9,68774,10730.28,107.3028,7381823.46004
1775025120000,2026-04-01T06:32:00Z,candles,BTC-USDT-SWAP,1m,68774,68818,68774,68806.7,8094.78,80.9478,5569218.27222
1775025180000,2026-04-01T06:33:00Z,candles,BTC-USDT-SWAP,1m,68807.2,68878.6,68807.1,68870,8459.96,84.5996,5824709.54003
1775025240000,2026-04-01T06:34:00Z,candles,BTC-USDT-SWAP,1m,68870,68950,68865,68917.8,32403.15,324.0315,22329944.04004
1775025300000,2026-04-01T06:35:00Z,candles,BTC-USDT-SWAP,1m,68917.8,68960,68907.8,68949.1,15937.76,159.3776,10988931.07773
1775025360000,2026-04-01T06:36:00Z,candles,BTC-USDT-SWAP,1m,68949,69099.9,68941.7,69024.2,108749.75,1087.4975,75075085.05134
1775025420000,2026-04-01T06:37:00Z,candles,BTC-USDT-SWAP,1m,69024.3,69024.3,68944.2,68969.1,23825.76,238.2576,16431601.03411
1775025480000,2026-04-01T06:38:00Z,candles,BTC-USDT-SWAP,1m,68969,69019,68949.9,68949.9,13221.29,132.2129,9120998.51149
1775025540000,2026-04-01T06:39:00Z,candles,BTC-USDT-SWAP,1m,68949.9,68950,68920,68935.9,9683.71,96.8371,6675131.10437
1775025600000,2026-04-01T06:40:00Z,candles,BTC-USDT-SWAP,1m,68936,68990.9,68935.9,68971.1,8777.9,87.779,6053444.37825
1775025660000,2026-04-01T06:41:00Z,candles,BTC-USDT-SWAP,1m,68971.1,69017.6,68962.4,69017.3,10982.54,109.8254,7577568.29038
1775025720000,2026-04-01T06:42:00Z,candles,BTC-USDT-SWAP,1m,69017.3,69050,68988.8,69011.4,19074.12,190.7412,13164454.63641
1775025780000,2026-04-01T06:43:00Z,candles,BTC-USDT-SWAP,1m,69011.4,69048.3,69011.4,69038.2,6285.63,62.8563,4339285.42458
